;"Accuracy score";"Recall score";"F1 score";"Precision score";"AUC score"
ACE2;0,92594558725946;0,89084745762712;0,88604180714767;0,88128772635815;0,92520844175772
LY-CoV16;0,88449949782390;0,88610169491525;0,88340655626901;0,88072776280324;0,88722267061250
LY-CoV555;0,92844364937388;0,92080378250591;0,92848629320620;0,93629807692308;0,92792158469246
REGN10933;0,91885012726456;0,93345323741007;0,91994091580502;0,90681421083285;0,91744249679527
REGN10987;0,94647129186603;0,94292370413512;0,94761486684226;0,95235294117647;0,94656941199380
